drug_a,drug_b,cell_line,synergy
Sapitinib,Dabrafenib,NCI-H716,0
OSI-027,Tozasertib,EFM-19,0
PD173074,Venetoclax,MDA-MB-175-VII,0
LGK974,Palbociclib,PANC-04-03,0
OSI-027,Vorinostat,MDA-MB-231,0
Galunisertib,Olaparib,PANC-10-05,0
Paclitaxel,Erlotinib,PANC-04-03,0
Vorinostat,Navitoclax,EFM-19,0
SB216763,AZD8055,SW837,0
OSI-027,Olaparib,MCF7,0
Docetaxel,Sapitinib,HCC1187,0
MK-1775,Docetaxel,MDA-MB-175-VII,0
Navitoclax,LGK974,SW1116,0
Temozolomide,Olaparib,MDA-MB-330,0
Vorinostat,KU-55933,MCF7,0
Palbociclib,Wee1 Inhibitor,MCF7,0
Olaparib,PF-4708671,HCC1143,0
Temozolomide,Doramapimod,CAL-51,0
Palbociclib,Bortezomib,MDA-MB-330,0
Crizotinib,AZD8055,HCC38,0
OSI-027,AZD7762,EFM-192A,0
BMS-754807,MK-1775,NCI-H716,0
Trametinib,Sapitinib,MDA-MB-361,0
BMS-754807,LGK974,HT-115,0
Docetaxel,Sapitinib,HCC1937,0
Trametinib,Dabrafenib,CAL-120,0
AZD4547,Palbociclib,SNU-C2B,0
Trametinib,AZD7762,SW1990,0
Temozolomide,AZD7762,HCC1143,0
LGK974,Trametinib,MDST8,0
Galunisertib,Navitoclax,BxPC-3,0
Irinotecan,Dactolisib,CAPAN-1,0
Palbociclib,Crizotinib,PANC-02-03,0
AZD7762,Afatinib,OCUB-M,0
Trametinib,Paclitaxel,COLO-824,0
Olaparib,Trametinib,CAMA-1,0
SB216763,Taselisib,SW1463,0
Galunisertib,Erlotinib,DAN-G,0
LGK974,Navitoclax,CL-11,0
Vorinostat,PF-4708671,HCC1599,0
Olaparib,Wee1 Inhibitor,HCC1419,0
OSI-027,Bortezomib,CAL-120,0
Galunisertib,Dactolisib,YAPC,0
Trametinib,PF-4708671,BT-483,0
Afatinib,BMS-754807,COLO-678,0
Lapatinib,OSI-027,MIA-PaCa-2,0
Erlotinib,Sorafenib,HPAC,0
Olaparib,Taselisib,PA-TU-8988T,0
Paclitaxel,Irinotecan,SU8686,0
LGK974,Sorafenib,Hs-766T,0
Taselisib,Erlotinib,YAPC,1
Crizotinib,Sapitinib,SW948,1
Docetaxel,Pictilisib,CAL-148,0
PD173074,Nilotinib,MCF7,1
Taselisib,OSI-027,HDQ-P1,0
Crizotinib,RO-3306,MDA-MB-330,0
Paclitaxel,Taselisib,YAPC,0
Crizotinib,Camptothecin,NCI-H747,0
SB216763,AZD4547,MDST8,0
Navitoclax,SB216763,MDA-MB-453,0
LGK974,Olaparib,T84,0
MK-1775,AZD8055,SNU-1040,0
Taselisib,Alpelisib,MDA-MB-468,0
Sapitinib,Docetaxel,HCC1143,0
Taselisib,BMS-754807,SNU-C2B,0
AZD7762,Temozolomide,HCC70,0
AZD7762,Vorinostat,MRK-nu-1,0
MK-1775,Palbociclib,HCT-116,0
Bortezomib,Sorafenib,EVSA-T,0
Taselisib,LGK974,SNU-81,0
Navitoclax,Sapitinib,SW620,0
LGK974,Trametinib,CAPAN-1,0
Afatinib,Trametinib,SNU-175,0
OSI-027,Palbociclib,BT-549,0
PD173074,PF-4708671,CAL-51,0
Temozolomide,Venetoclax,EFM-19,0
AZD7762,Taselisib,T47D,0
Palbociclib,OSI-027,HCC1500,0
Palbociclib,Olaparib,LS-180,0
AZD4547,Navitoclax,LS-180,0
Bortezomib,Doramapimod,MDA-MB-361,0
Olaparib,RO-3306,HCC1569,0
Lapatinib,Paclitaxel,HuP-T3,0
Palbociclib,NU7441,BT-483,0
AZD7762,NU7441,CAMA-1,0
Temozolomide,OSI-027,HCC1143,0
Trametinib,Sapitinib,BT-20,1
Olaparib,Temozolomide,MDA-MB-415,0
Lapatinib,Taselisib,JIMT-1,0
Trametinib,Alpelisib,BT-483,0
Sapitinib,MK-1775,HCC1500,0
Sapitinib,JQ1,HCC2157,1
Bortezomib,Tozasertib,MFM-223,0
Taselisib,Alisertib,MRK-nu-1,0
Irinotecan,OSI-027,YAPC,0
Trametinib,OSI-027,CAL-85-1,0
PD173074,Sapitinib,MFM-223,0
Paclitaxel,Palbociclib,PANC-04-03,0
AZD7762,SB505124,HT-29,0
Crizotinib,Navitoclax,SUIT-2,0
OSI-027,MK-1775,MDA-MB-157,0
Navitoclax,Olaparib,SNU-81,0
Erlotinib,Navitoclax,PA-TU-8988T,0
Crizotinib,Taselisib,PANC-10-05,0
Crizotinib,Alisertib,MDA-MB-415,0
Taselisib,Doramapimod,HCC1500,0
PD173074,Nilotinib,ZR-75-30,0
Lapatinib,AZD8055,DU-4475,0
PD173074,Ribociclib,HCC2157,0
MK-1775,AZD8055,MRK-nu-1,0
AZD7762,RO-3306,JIMT-1,0
Navitoclax,Palbociclib,BT-549,0
AZD7762,Bortezomib,HCC2218,0
Trametinib,AZD8055,MDA-MB-175-VII,1
Navitoclax,Taselisib,NCI-H747,0
AZD7762,Alpelisib,OCUB-M,0
Pictilisib,Palbociclib,HCC202,0
Sapitinib,Dabrafenib,AU565,0
LGK974,Olaparib,HT55,0
OSI-027,Afatinib,ZR-75-30,0
AZD4547,Trametinib,LoVo,0
Docetaxel,Alisertib,UACC-893,0
SB216763,Navitoclax,NCI-H747,0
Palbociclib,BMS-754807,HT-29,0
Olaparib,OSI-027,ZR-75-30,0
Navitoclax,LGK974,GP5d,0
Taselisib,Lapatinib,MDA-MB-231,0
OSI-027,Wee1 Inhibitor,CAMA-1,0
OSI-027,Dasatinib,PANC-04-03,0
Palbociclib,Trametinib,ZR-75-1,0
LGK974,AZD4547,SW837,0
Crizotinib,Olaparib,CAPAN-2,0
Olaparib,SB505124,SNU-1040,0
Bortezomib,Olaparib,EFM-192A,0
Taselisib,Crizotinib,PANC-02-03,0
Pictilisib,AZD6482,HCC1599,0
Afatinib,SB505124,CW-2,0
Bortezomib,Taselisib,HCC1143,0
Sapitinib,Crizotinib,NCI-H508,0
Vorinostat,Bortezomib,HCC1428,0
Bortezomib,AZD6482,OCUB-M,0
Sapitinib,AZD4547,HCC2998,0
OSI-027,KU-55933,HCC2218,0
AZD4547,Crizotinib,SNU-1040,0
Lapatinib,Vorinostat,HDQ-P1,0
Lapatinib,Wee1 Inhibitor,DU-4475,0
Temozolomide,OSI-027,MDA-MB-468,0
OSI-027,Afatinib,BT-474,0
MK-1775,LGK974,SW620,0
Palbociclib,BMS-754807,LS-513,0
SB216763,Afatinib,SW48,0
Crizotinib,NU7441,AU565,0
BMS-754807,Camptothecin,RKO,0
Navitoclax,Docetaxel,CAMA-1,0
Palbociclib,SB216763,MFM-223,0
Galunisertib,Olaparib,HuP-T3,0
Olaparib,Tozasertib,HCC2218,0
BMS-754807,Camptothecin,SK-CO-1,0
Palbociclib,Crizotinib,PSN1,0
Sapitinib,Paclitaxel,BT-549,0
Navitoclax,Temozolomide,HCC1395,0
Palbociclib,OSI-027,KP-2,0
PD173074,NU7441,BT-549,0
Bortezomib,Docetaxel,MDA-MB-415,0
Erlotinib,Palbociclib,DAN-G,1
OSI-027,Lapatinib,AsPC-1,0
Lapatinib,Crizotinib,HCC1806,0
LGK974,AZD8055,NCI-H508,0
Lapatinib,AZD8055,MDA-MB-231,0
AZD7762,NU7441,T47D,0
Olaparib,Camptothecin,HCC1428,0
PD173074,ZM447439,MDA-MB-415,0
Dasatinib,Taselisib,PSN1,1
Trametinib,OSI-027,HuP-T3,0
Crizotinib,Navitoclax,SNU-407,0
Temozolomide,Ribociclib,CAL-148,0
Sapitinib,Lapatinib,COLO-824,0
Camptothecin,AZD4547,SNU-C1,0
AZD7762,Sapitinib,KM12,0
OSI-027,Wee1 Inhibitor,HDQ-P1,0
Palbociclib,KU-55933,MDA-MB-453,0
OSI-027,Alisertib,AU565,0
Temozolomide,Navitoclax,HCC2218,0
MK-1775,BI-2536,HCC1500,0
Erlotinib,Dactolisib,PANC-03-27,0
PD173074,Trametinib,HCC1806,0
Temozolomide,ZM447439,HCC2218,0
Paclitaxel,Trametinib,PA-TU-8988T,0
Navitoclax,PD173074,CAMA-1,0
OSI-027,AZD6482,OCUB-M,0
Pictilisib,Alpelisib,HCC1187,0
Sapitinib,LGK974,SW1116,0
BMS-754807,Sapitinib,SNU-175,0
Docetaxel,Paclitaxel,CAL-85-1,0
Vorinostat,Alpelisib,MDA-MB-175-VII,0
Crizotinib,SB216763,BT-474,0
Vorinostat,Venetoclax,CAL-120,0
Crizotinib,AZD7762,SW948,0
Lapatinib,Doramapimod,EFM-19,0
MK-1775,OSI-027,UACC-893,0
Olaparib,Bortezomib,HDQ-P1,0
PD173074,Uprosertib,DU-4475,0
Vorinostat,Trametinib,MCF7,0
Lapatinib,Trametinib,EFM-19,0
Olaparib,Sorafenib,CAL-120,0
AZD7762,Dabrafenib,HCC2998,0
Paclitaxel,Crizotinib,SUIT-2,0
Crizotinib,OSI-027,KP-3,0
Docetaxel,Taselisib,Hs-578-T,0
Vorinostat,PD173074,CAL-85-1,0
OSI-027,PD173074,CAL-148,0
Trametinib,Olaparib,UACC-893,0
Vorinostat,Doramapimod,MCF7,0
Vorinostat,PF-4708671,MRK-nu-1,0
Trametinib,BI-2536,HCC2157,0
Trametinib,Sapitinib,CAL-120,0
Palbociclib,RO-3306,MDA-MB-175-VII,0
Trametinib,AZD7762,HPAC,0
Taselisib,Tozasertib,HCC70,0
BMS-754807,AZD8055,SNU-407,0
Taselisib,Sorafenib,UACC-893,0
Lapatinib,Olaparib,CAL-51,0
Vorinostat,Ribociclib,HCC1954,0
MK-1775,Crizotinib,BT-20,0
Dactolisib,Galunisertib,SU8686,0
Navitoclax,Galunisertib,PA-TU-8988T,0
PD173074,Alpelisib,MDA-MB-468,0
Dasatinib,Palbociclib,KP-3,0
Dabrafenib,SB216763,SNU-81,0
Lapatinib,Doramapimod,HCC2157,0
Crizotinib,AZD7762,PANC-10-05,0
Sapitinib,AZD7762,LS-180,0
Sapitinib,BI-2536,MDA-MB-330,0
MK-1775,Bortezomib,OCUB-M,0
PD173074,Crizotinib,HCC1419,0
Trametinib,Camptothecin,SW1463,0
Trametinib,OSI-027,BxPC-3,0
OSI-027,PF-4708671,MDA-MB-157,0
Crizotinib,JQ1,HCC70,0
Docetaxel,AZD6482,BT-549,0
AZD7762,OSI-027,SW1990,0
Lapatinib,Bortezomib,MDA-MB-453,0
SB505124,BMS-754807,SK-CO-1,0
Irinotecan,Dasatinib,KP-3,0
Navitoclax,Docetaxel,BT-474,0
PD173074,MK-1775,HCC1806,0
Galunisertib,Palbociclib,KP-4,0
Docetaxel,Palbociclib,BT-483,0
SB216763,Afatinib,HCT-15,0
Sapitinib,PD173074,ZR-75-1,0
OSI-027,Trametinib,PA-TU-8988T,0
Docetaxel,Alpelisib,MDA-MB-436,0
Taselisib,AZD7762,MDA-MB-415,0
Crizotinib,Camptothecin,HCC1187,0
SB216763,AZD7762,HCC2998,0
Olaparib,Pictilisib,MDA-MB-361,0
Olaparib,Camptothecin,LS-513,0
Vorinostat,JQ1,HCC1395,0
Navitoclax,Olaparib,MDA-MB-157,0
AZD8055,Olaparib,SNU-175,0
LGK974,Dabrafenib,LS-123,0
SB216763,Dabrafenib,T84,0
Docetaxel,Tozasertib,HCC1187,0
Taselisib,Trametinib,HT55,0
Navitoclax,Taselisib,HCC1187,1
Taselisib,Lapatinib,CAPAN-2,0
Lapatinib,JQ1,HDQ-P1,0
Olaparib,Trametinib,HCC1954,0
Pictilisib,SB216763,CAL-120,0
Taselisib,Sorafenib,KP-1N,0
Sapitinib,BI-2536,HCC1599,0
Palbociclib,AZD4547,NCI-H716,0
Temozolomide,AZD8055,MDA-MB-415,0
Temozolomide,PF-4708671,HDQ-P1,0
Palbociclib,AZD8055,SK-CO-1,0
PD173074,NU7441,HCC70,0
Palbociclib,JQ1,BT-483,0
Trametinib,Doramapimod,JIMT-1,0
Bortezomib,Nilotinib,HCC1143,0
Olaparib,ZM447439,EVSA-T,0
Crizotinib,Sorafenib,EVSA-T,0
PD173074,MK-1775,HDQ-P1,0
Olaparib,Pictilisib,CAL-120,0
Lapatinib,MK-1775,EFM-19,0
Vorinostat,OSI-027,MDA-MB-436,0
Docetaxel,OSI-027,HCC1806,0
Olaparib,Bortezomib,Hs-578-T,0
OSI-027,AZD6482,HCC1569,0
Trametinib,Camptothecin,EVSA-T,0
LGK974,Erlotinib,DAN-G,0
LGK974,BMS-754807,COLO-678,0
Olaparib,Afatinib,BT-549,0
LGK974,Trametinib,HCT-15,0
Crizotinib,AZD7762,Hs-766T,0
Lapatinib,AZD7762,BT-20,0
Temozolomide,AZD8055,HCC1806,0
Navitoclax,Sapitinib,CAL-51,0
Sapitinib,Trametinib,ZR-75-30,0
Palbociclib,Navitoclax,T84,0
Dabrafenib,Afatinib,HCC2998,0
Dasatinib,LGK974,PSN1,0
Taselisib,Temozolomide,CAL-51,0
Crizotinib,Docetaxel,COLO-824,0
SB216763,Olaparib,LS-123,0
AZD4547,LGK974,DiFi,0
Lapatinib,Palbociclib,MDA-MB-231,0
Navitoclax,AZD4547,KM12,0
Dasatinib,Taselisib,DAN-G,1
AZD4547,Palbociclib,SNU-C5,0
Navitoclax,Alpelisib,HCC1806,0
Navitoclax,AZD7762,AU565,0
Trametinib,Uprosertib,EFM-19,0
Docetaxel,PD173074,AU565,0
Vorinostat,RO-3306,HCC1187,0
Erlotinib,Navitoclax,SW1990,0
Palbociclib,AZD8055,MDA-MB-157,0
Lapatinib,Crizotinib,MZ1-PC,0
Temozolomide,Alpelisib,EFM-192A,0
AZD7762,BI-2536,ZR-75-30,0
Temozolomide,Lapatinib,HDQ-P1,0
Lapatinib,AZD6482,MDA-MB-415,0
Palbociclib,Taselisib,SNU-C5,0
Sapitinib,Uprosertib,BT-474,0
Lapatinib,Afatinib,HCC2218,0
PD173074,Nilotinib,HCC1419,0
MK-1775,Sapitinib,MDA-MB-436,0
Sapitinib,Nilotinib,HCC1419,0
AZD7762,JQ1,HCC1937,0
Olaparib,Taselisib,CAL-51,0
PD173074,Venetoclax,T47D,0
AZD7762,SB216763,MDA-MB-175-VII,0
Dabrafenib,AZD4547,HT-115,0
BMS-754807,AZD7762,SNU-175,1
Palbociclib,Lapatinib,JIMT-1,0
Palbociclib,Taselisib,PSN1,1
OSI-027,Galunisertib,PANC-10-05,0
Olaparib,AZD7762,LS-513,0
Olaparib,MK-1775,HCC2218,0
MK-1775,Paclitaxel,MDA-MB-231,0
MK-1775,Lapatinib,AsPC-1,0
AZD7762,Dabrafenib,HCC1569,0
OSI-027,Palbociclib,HCC70,0
Palbociclib,BMS-754807,LoVo,0
Vorinostat,Crizotinib,UACC-893,0
Olaparib,Trametinib,LS-123,0
SB216763,Camptothecin,CL-11,0
Sapitinib,Sorafenib,OCUB-M,0
LGK974,Afatinib,COLO-320-HSR,0
Trametinib,BMS-754807,COLO-320-HSR,0
Docetaxel,Doramapimod,BT-483,0
Pictilisib,Camptothecin,MCF7,0
Sapitinib,Alpelisib,HCC2218,0
OSI-027,Taselisib,HPAC,0
Temozolomide,Pictilisib,EFM-19,0
Taselisib,BI-2536,DU-4475,0
Crizotinib,Navitoclax,NCI-H716,0
AZD7762,MK-1775,PANC-03-27,0
AZD7762,Vorinostat,HCC1569,0
Navitoclax,AZD4547,HCT-15,0
Dactolisib,Irinotecan,MZ1-PC,0
AZD7762,KU-55933,HCC1954,0
Taselisib,Alpelisib,EFM-192A,0
MK-1775,Trametinib,SNU-81,0
Bortezomib,Uprosertib,OCUB-M,0
Navitoclax,Vorinostat,EVSA-T,0
AZD7762,Taselisib,HCC1187,0
Trametinib,Sapitinib,EVSA-T,0
Crizotinib,Alisertib,COLO-824,0
MK-1775,AZD8055,LS-180,0
Sapitinib,Wee1 Inhibitor,CAL-148,0
Navitoclax,MK-1775,AU565,0
Olaparib,NU7441,ZR-75-30,0
AZD7762,PD173074,AU565,0
LGK974,SB216763,HCT-116,0
Dasatinib,Sorafenib,HuP-T4,0
Sapitinib,PD173074,CAL-85-1,0
Bortezomib,KU-55933,CAL-148,0
Pictilisib,NU7441,HCC1395,0
Erlotinib,Crizotinib,SUIT-2,0
Bortezomib,Afatinib,HCC1599,0
MK-1775,Palbociclib,BT-20,0
Vorinostat,MK-1775,HCC1937,0
Lapatinib,Sapitinib,HDQ-P1,0
Crizotinib,ZM447439,EVSA-T,0
Crizotinib,Uprosertib,ZR-75-1,0
Navitoclax,Trametinib,MIA-PaCa-2,0
Olaparib,Tozasertib,BT-20,0
Taselisib,MK-1775,YAPC,0
Palbociclib,SB505124,HT55,0
MK-1775,Pictilisib,HCC1143,0
Camptothecin,Taselisib,SNU-407,0
Olaparib,Alisertib,T47D,0
Taselisib,Dabrafenib,HCC1599,0
Taselisib,Temozolomide,EVSA-T,0
PD173074,Wee1 Inhibitor,EFM-192A,0
SB216763,BMS-754807,SW948,1
Bortezomib,RO-3306,HCC2218,0
Docetaxel,Lapatinib,MDA-MB-468,0
MK-1775,AZD8055,MDA-MB-361,0
Temozolomide,Pictilisib,MDA-MB-361,0
Vorinostat,Olaparib,MDA-MB-175-VII,0
Vorinostat,Temozolomide,OCUB-M,0
PD173074,Paclitaxel,MDA-MB-175-VII,0
Pictilisib,Camptothecin,HCC1419,0
Paclitaxel,Taselisib,BxPC-3,1
Dabrafenib,Camptothecin,LS-513,0
Olaparib,AZD7762,HuP-T4,0
Galunisertib,Dactolisib,PA-TU-8988T,0
Navitoclax,Alpelisib,OCUB-M,0
Irinotecan,Olaparib,DAN-G,0
MK-1775,Paclitaxel,HuP-T3,0
LGK974,Crizotinib,Hs-766T,0
Crizotinib,Alisertib,EFM-192A,0
Crizotinib,Afatinib,NCI-H716,0
Irinotecan,Navitoclax,YAPC,1
OSI-027,Taselisib,CAL-120,0
Palbociclib,SB216763,BT-474,0
Temozolomide,Alpelisib,EFM-19,0
Taselisib,Alpelisib,MCF7,0
Paclitaxel,Sorafenib,PA-TU-8902,0
Taselisib,Afatinib,HCT-15,0
Olaparib,PF-4708671,EVSA-T,0
Taselisib,Nilotinib,HCC1143,0
Olaparib,LGK974,SNU-81,0
Temozolomide,SB216763,HCC2157,0
Dasatinib,Sorafenib,HuP-T3,0
OSI-027,Crizotinib,BT-474,0
Bortezomib,KU-55933,MFM-223,0
Crizotinib,Palbociclib,PANC-04-03,0
Olaparib,Temozolomide,CAL-51,1
AZD7762,Crizotinib,MFM-223,0
Lapatinib,MK-1775,HuP-T4,0
Taselisib,RO-3306,EFM-19,0
Palbociclib,Alisertib,HCC70,0
BMS-754807,Dabrafenib,RKO,0
Navitoclax,Paclitaxel,T47D,1
Navitoclax,OSI-027,Hs-578-T,0
Sapitinib,Taselisib,UACC-893,0
Olaparib,Dabrafenib,HCC1419,0
Lapatinib,Sorafenib,T47D,0
Navitoclax,Dabrafenib,CCK-81,0
Crizotinib,Sapitinib,BT-483,0
Lapatinib,Sorafenib,PANC-10-05,1
AZD7762,LGK974,RCM-1,0
Vorinostat,BI-2536,HCC70,0
Palbociclib,LGK974,SW48,0
AZD7762,NU7441,ZR-75-30,0
Pictilisib,Nilotinib,MRK-nu-1,0
MK-1775,ZM447439,HCC1599,0
Lapatinib,Olaparib,BT-474,0
Navitoclax,Lapatinib,HCC1187,1
Crizotinib,Taselisib,Hs-578-T,0
Lapatinib,RO-3306,HDQ-P1,0
Docetaxel,MK-1775,HCC1187,0
Olaparib,SB216763,SNU-1040,0
Vorinostat,Afatinib,UACC-893,1
PD173074,AZD8055,OCUB-M,0
LGK974,Trametinib,SW1417,0
Crizotinib,Doramapimod,MCF7,0
SB505124,SB216763,SNU-81,0
AZD7762,Doramapimod,EVSA-T,0
LGK974,Afatinib,SK-CO-1,0
Navitoclax,Crizotinib,EVSA-T,0
Taselisib,Olaparib,BT-483,0
LGK974,Irinotecan,KP-3,0
SB505124,AZD4547,HCC2998,0
Lapatinib,Navitoclax,MIA-PaCa-2,1
Temozolomide,Tozasertib,MDA-MB-453,0
Lapatinib,LGK974,PANC-03-27,0
Taselisib,Crizotinib,HCC1954,0
AZD7762,Taselisib,Hs-578-T,1
AZD7762,SB505124,LS-123,0
AZD7762,Dactolisib,HuP-T4,0
AZD7762,Crizotinib,SW48,0
AZD7762,Paclitaxel,SUIT-2,0
Crizotinib,Sapitinib,HCC1954,0
Lapatinib,MK-1775,PL4,0
Trametinib,Taselisib,HCC2218,1
Sapitinib,KU-55933,MFM-223,0
Pictilisib,AZD8055,HCC1954,0
Vorinostat,Doramapimod,HCC38,0
AZD4547,Trametinib,COLO-678,0
Crizotinib,RO-3306,HCC70,0
SB505124,Sapitinib,HCT-116,0
Crizotinib,Taselisib,SW48,0
AZD7762,OSI-027,KP-3,0
Olaparib,Trametinib,HCC1937,0
OSI-027,Wee1 Inhibitor,MDA-MB-436,0
AZD8055,AZD4547,HT55,0
Palbociclib,Sapitinib,SNU-C2B,0
Lapatinib,JQ1,HCC70,0
Docetaxel,Sorafenib,MDA-MB-175-VII,0
Irinotecan,LGK974,AsPC-1,0
Vorinostat,PD173074,HCC1806,0
Bortezomib,Venetoclax,OCUB-M,0
Taselisib,Galunisertib,CAPAN-1,0
Taselisib,Sorafenib,PANC-02-03,0
MK-1775,BMS-754807,SW948,0
Sapitinib,Sorafenib,HCC1395,0
Trametinib,Palbociclib,AU565,0
Dabrafenib,MK-1775,MDST8,0
Camptothecin,Sapitinib,CW-2,0
Temozolomide,Alisertib,COLO-824,0
Palbociclib,AZD8055,HCC1143,0
Taselisib,AZD4547,SW1463,0
Olaparib,Uprosertib,HDQ-P1,0
Bortezomib,Nilotinib,EFM-19,0
Crizotinib,Camptothecin,C2BBe1,0
Bortezomib,Taselisib,ZR-75-1,0
Taselisib,Olaparib,MDA-MB-231,0
Navitoclax,SB216763,SW948,0
Taselisib,Camptothecin,MDA-MB-436,0
SB216763,Trametinib,SNU-1040,0
AZD7762,MK-1775,SW1990,0
AZD7762,Afatinib,MDA-MB-157,0
Crizotinib,Camptothecin,EFM-19,0
Navitoclax,SB216763,HCC1143,0
AZD7762,Palbociclib,MDA-MB-231,0
SB505124,Sapitinib,HCT-15,0
Sapitinib,Temozolomide,CAL-85-1,0
Camptothecin,BMS-754807,GP5d,0
AZD7762,Alisertib,MDA-MB-175-VII,0
Trametinib,ZM447439,CAL-85-1,1
Trametinib,OSI-027,SUIT-2,0
Navitoclax,Dasatinib,PANC-04-03,0
MK-1775,Trametinib,HDQ-P1,1
Sapitinib,Olaparib,SW1116,0
Vorinostat,Alpelisib,JIMT-1,0
Olaparib,Palbociclib,HCC1806,0
Vorinostat,Sorafenib,MDA-MB-415,0
Palbociclib,Trametinib,EFM-19,0
AZD7762,Lapatinib,EFM-19,0
Lapatinib,JQ1,HCC1500,1
Camptothecin,BMS-754807,SW1463,0
OSI-027,Alisertib,UACC-893,0
Palbociclib,NU7441,HCC1187,0
AZD4547,Dabrafenib,GP5d,0
Vorinostat,Trametinib,T47D,0
Docetaxel,Palbociclib,HCC2157,0
Olaparib,AZD8055,BT-549,0
Sapitinib,Pictilisib,HCC2218,1
OSI-027,AZD6482,HCC1954,0
Dactolisib,AZD7762,PANC-03-27,0
Paclitaxel,Sorafenib,PANC-08-13,0
Camptothecin,MK-1775,SNU-81,0
AZD8055,Camptothecin,HT-115,0
Crizotinib,Camptothecin,LoVo,0
LGK974,Paclitaxel,BxPC-3,0
MK-1775,Lapatinib,HCC1419,0
Sapitinib,Palbociclib,SW48,0
AZD7762,MK-1775,HCC1143,0
Afatinib,Camptothecin,LoVo,0
SB505124,Palbociclib,SNU-81,0
PD173074,Bortezomib,UACC-812,0
PD173074,Palbociclib,MDA-MB-468,0
Palbociclib,Olaparib,C2BBe1,0
Docetaxel,Camptothecin,HCC70,0
MK-1775,JQ1,EFM-19,0
Taselisib,BMS-754807,LS-513,0
Palbociclib,AZD8055,MDA-MB-361,0
Sapitinib,AZD8055,HCC2157,0
Dasatinib,OSI-027,CAPAN-2,0
PD173074,NU7441,HCC2157,0
PD173074,AZD7762,BT-20,0
Crizotinib,Olaparib,MDST8,0
LGK974,Sapitinib,HCT-116,0
AZD7762,Bortezomib,MDA-MB-330,0
AZD8055,Crizotinib,SW48,0
PD173074,Camptothecin,MFM-223,0
