drug_a,drug_b,cell_line,synergy
Gemcitabine,Palbociclib,CAPAN-2,0
Luminespib,MK-2206,HDQ-P1,0
Vorinostat,GSK269962A,BT-474,0
Taselisib,Camptothecin,COLO-678,0
MK-2206,PF-4708671,ZR-75-1,0
5-Fluorouracil,BMS-754807,CaR-1,0
Paclitaxel,Palbociclib,SU8686,0
OSI-027,Paclitaxel,KP-3,0
Gemcitabine,SCH772984,PA-TU-8902,0
Palbociclib,Navitoclax,EVSA-T,0
Cisplatin,Temozolomide,ZR-75-30,0
SB216763,Oxaliplatin,CW-2,0
AZD7762,Navitoclax,HPAC,0
Galunisertib,MK-2206,SUIT-2,0
AZD7762,Docetaxel,MRK-nu-1,0
Gemcitabine,ZM447439,HCC1569,0
Camptothecin,Olaparib,SK-CO-1,1
Bortezomib,Cisplatin,HCC1806,0
Temozolomide,BI-2536,MCF7,0
Temozolomide,NU7441,MDA-MB-453,0
MK-1775,5-Fluorouracil,HCC1806,0
MK-2206,Taselisib,SW48,0
Taselisib,Lapatinib,HuP-T4,0
5-Fluorouracil,Docetaxel,HCC1395,0
AZD7762,Dactolisib,HPAC,0
Lapatinib,MK-1775,COLO-824,0
Linsitinib,Dabrafenib,SW620,0
Oxaliplatin,Olaparib,SNU-C2B,0
Paclitaxel,Ruxolitinib,SW1990,0
MK-1775,AZD7762,MDA-MB-415,0
Camptothecin,Vinorelbine,SNU-C5,0
Bortezomib,Palbociclib,CAL-85-1,0
Docetaxel,Luminespib,MDA-MB-175-VII,0
Taselisib,Navitoclax,EFM-192A,1
OSI-027,Gemcitabine,MDA-MB-468,0
Taselisib,Luminespib,MDA-MB-157,0
5-Fluorouracil,Gemcitabine,ZR-75-30,0
MK-2206,SB216763,HDQ-P1,0
OSI-027,Tozasertib,EFM-19,0
OSI-027,Vorinostat,MDA-MB-231,0
Axitinib,Cisplatin,MDA-MB-415,0
Linsitinib,Dabrafenib,SNU-175,0
Temozolomide,Linsitinib,CAL-148,0
Dasatinib,Gemcitabine,PANC-04-03,0
Galunisertib,Olaparib,PANC-10-05,0
Galunisertib,Ruxolitinib,KP-2,0
Vorinostat,Navitoclax,EFM-19,0
Cisplatin,NU7441,MDA-MB-453,0
Irinotecan,SCH772984,PANC-04-03,0
SB216763,AZD8055,SW837,0
OSI-027,Olaparib,MCF7,0
MK-2206,Linsitinib,KP-2,0
Palbociclib,Oxaliplatin,NCI-H747,0
MK-1775,Docetaxel,MDA-MB-175-VII,0
Temozolomide,Olaparib,MDA-MB-330,0
Taselisib,Vinorelbine,SNU-175,0
SCH772984,Dabrafenib,SNU-C5,0
SB505124,Vinorelbine,HT55,0
Vorinostat,KU-55933,MCF7,0
Palbociclib,Wee1 Inhibitor,MCF7,0
MK-1775,Linsitinib,CAL-51,0
Linsitinib,Bortezomib,OCUB-M,0
AZD4547,SCH772984,HT-115,1
Olaparib,PF-4708671,HCC1143,0
Temozolomide,Doramapimod,CAL-51,0
Bortezomib,Gemcitabine,T47D,0
MK-2206,Tozasertib,HCC1428,0
Palbociclib,Bortezomib,MDA-MB-330,0
Crizotinib,AZD8055,HCC38,0
OSI-027,AZD7762,EFM-192A,0
MK-2206,Wee1 Inhibitor,BT-20,0
BMS-754807,MK-1775,NCI-H716,0
Gemcitabine,Taselisib,HuP-T3,0
Dasatinib,Linsitinib,BxPC-3,1
AZD4547,Palbociclib,SNU-C2B,0
Temozolomide,AZD7762,HCC1143,0
5-Fluorouracil,Axitinib,EFM-19,0
Vorinostat,Axitinib,HCC1599,0
Galunisertib,Navitoclax,BxPC-3,0
Linsitinib,Gemcitabine,HCC2157,0
Irinotecan,Dactolisib,CAPAN-1,0
Palbociclib,Crizotinib,PANC-02-03,0
Palbociclib,Oxaliplatin,KP-3,0
Luminespib,Navitoclax,CAL-85-1,0
Vorinostat,SCH772984,ZR-75-1,0
SB216763,Taselisib,SW1463,0
Taselisib,5-Fluorouracil,GP5d,0
Vorinostat,PF-4708671,HCC1599,0
Olaparib,Wee1 Inhibitor,HCC1419,0
OSI-027,Bortezomib,CAL-120,0
MK-1775,MK-2206,SUIT-2,1
Galunisertib,Dactolisib,YAPC,0
OSI-027,Luminespib,HCC1954,0
Gemcitabine,Irinotecan,HPAC,0
Lapatinib,OSI-027,MIA-PaCa-2,0
5-Fluorouracil,AZD8055,SW1116,0
Oxaliplatin,BMS-754807,SW48,0
SCH772984,AZD8055,C2BBe1,0
Olaparib,MK-2206,MDA-MB-175-VII,0
Linsitinib,MK-2206,CaR-1,1
Olaparib,Taselisib,PA-TU-8988T,0
Paclitaxel,Irinotecan,SU8686,0
5-Fluorouracil,GSK269962A,CAL-120,0
Taselisib,OSI-027,HDQ-P1,0
Crizotinib,RO-3306,MDA-MB-330,0
Cisplatin,MK-2206,KP-4,0
Paclitaxel,Taselisib,YAPC,0
Crizotinib,Camptothecin,NCI-H747,0
SB216763,AZD4547,MDST8,0
Navitoclax,SB216763,MDA-MB-453,0
MK-1775,AZD8055,SNU-1040,0
Taselisib,Alpelisib,MDA-MB-468,0
5-Fluorouracil,Dabrafenib,HT-115,0
Linsitinib,Wee1 Inhibitor,ZR-75-1,0
Axitinib,BI-2536,BT-20,0
Palbociclib,Luminespib,MDA-MB-330,0
Gemcitabine,Paclitaxel,HCC1187,0
Linsitinib,Entinostat,MDA-MB-436,0
Taselisib,BMS-754807,SNU-C2B,0
AZD7762,Temozolomide,HCC70,0
Palbociclib,Axitinib,ZR-75-30,0
Temozolomide,Gemcitabine,CAL-148,0
MK-2206,RO-3306,CAMA-1,0
5-Fluorouracil,AZD8055,HCT-116,0
AZD7762,Vorinostat,MRK-nu-1,0
5-Fluorouracil,Vinorelbine,MDST8,0
Sorafenib,Linsitinib,KP-3,0
MK-1775,Palbociclib,HCT-116,0
5-Fluorouracil,Linsitinib,PANC-10-05,0
Bortezomib,Sorafenib,EVSA-T,0
OSI-027,Palbociclib,BT-549,0
Vinorelbine,Navitoclax,SNU-C2B,1
AZD7762,Taselisib,T47D,0
Palbociclib,OSI-027,HCC1500,0
Palbociclib,Olaparib,LS-180,0
AZD4547,Navitoclax,LS-180,0
Cisplatin,Docetaxel,CAMA-1,0
Bortezomib,Doramapimod,MDA-MB-361,0
Olaparib,RO-3306,HCC1569,0
Axitinib,Luminespib,HCC38,0
5-Fluorouracil,Olaparib,PSN1,0
Lapatinib,Paclitaxel,HuP-T3,0
Palbociclib,NU7441,BT-483,0
Olaparib,SCH772984,YAPC,0
Axitinib,Olaparib,MDA-MB-175-VII,0
5-Fluorouracil,OSI-027,MDA-MB-468,0
Gemcitabine,Camptothecin,BT-474,0
AZD7762,NU7441,CAMA-1,0
Temozolomide,OSI-027,HCC1143,0
Olaparib,Temozolomide,MDA-MB-415,0
Lapatinib,Taselisib,JIMT-1,0
Crizotinib,Vinorelbine,SW1417,0
Axitinib,Docetaxel,MDA-MB-361,0
Palbociclib,5-Fluorouracil,T47D,0
Gemcitabine,PF-4708671,HCC1937,0
Cisplatin,Lapatinib,Hs-766T,0
Vorinostat,Luminespib,COLO-824,0
Bortezomib,Tozasertib,MFM-223,0
Irinotecan,OSI-027,YAPC,0
Paclitaxel,Palbociclib,PANC-04-03,0
AZD7762,SB505124,HT-29,0
Crizotinib,Navitoclax,SUIT-2,0
OSI-027,MK-1775,MDA-MB-157,0
Cisplatin,Lapatinib,SUIT-2,0
Gemcitabine,Palbociclib,AsPC-1,0
Navitoclax,Olaparib,SNU-81,0
AZD7762,Gemcitabine,MDA-MB-361,1
Lapatinib,Cisplatin,ZR-75-30,0
MK-2206,Navitoclax,PANC-10-05,0
5-Fluorouracil,Doramapimod,HCC1419,0
Crizotinib,Linsitinib,MDA-MB-157,0
Crizotinib,Taselisib,PANC-10-05,0
Taselisib,Doramapimod,HCC1500,0
SCH772984,MK-2206,MDST8,0
Lapatinib,AZD8055,DU-4475,0
MK-1775,AZD8055,MRK-nu-1,0
MK-2206,Taselisib,LS-123,0
AZD7762,RO-3306,JIMT-1,0
SB216763,Linsitinib,NCI-H747,0
Navitoclax,Palbociclib,BT-549,0
Camptothecin,MK-2206,COLO-320-HSR,0
AZD7762,Bortezomib,HCC2218,0
AZD7762,5-Fluorouracil,MDA-MB-157,1
Navitoclax,Taselisib,NCI-H747,0
AZD7762,Alpelisib,OCUB-M,0
Gemcitabine,Nilotinib,HCC1569,0
Linsitinib,5-Fluorouracil,MIA-PaCa-2,0
MK-2206,Entinostat,MCF7,0
OSI-027,MK-2206,MDA-MB-231,0
Cisplatin,Irinotecan,MZ1-PC,0
SCH772984,Irinotecan,PSN1,0
Ruxolitinib,Taselisib,PANC-03-27,0
Linsitinib,RO-3306,MDA-MB-436,0
SB216763,Navitoclax,NCI-H747,0
Palbociclib,BMS-754807,HT-29,0
Olaparib,OSI-027,ZR-75-30,0
Taselisib,Lapatinib,MDA-MB-231,0
OSI-027,Wee1 Inhibitor,CAMA-1,0
OSI-027,Dasatinib,PANC-04-03,0
Crizotinib,Olaparib,CAPAN-2,0
Olaparib,SB505124,SNU-1040,0
Bortezomib,Olaparib,EFM-192A,0
Taselisib,Crizotinib,PANC-02-03,0
Cisplatin,MK-2206,UACC-812,0
Luminespib,Doramapimod,BT-474,0
Bortezomib,Taselisib,HCC1143,0
MK-2206,5-Fluorouracil,CL-11,0
AZD7762,5-Fluorouracil,SW1116,0
MK-2206,Palbociclib,HCC1500,0
Vorinostat,Bortezomib,HCC1428,0
AZD7762,Linsitinib,UACC-812,0
OSI-027,KU-55933,HCC2218,0
AZD4547,Crizotinib,SNU-1040,0
Lapatinib,Vorinostat,HDQ-P1,0
Lapatinib,Wee1 Inhibitor,DU-4475,0
Temozolomide,OSI-027,MDA-MB-468,0
Taselisib,Oxaliplatin,PANC-08-13,0
Cisplatin,SB216763,HCC1143,0
Cisplatin,Entinostat,CAMA-1,0
Linsitinib,KU-55933,BT-474,0
Palbociclib,BMS-754807,LS-513,0
Crizotinib,NU7441,AU565,0
BMS-754807,Camptothecin,RKO,0
Navitoclax,Docetaxel,CAMA-1,0
AZD7762,Luminespib,HCC1569,0
Palbociclib,SB216763,MFM-223,0
5-Fluorouracil,AZD8055,HCC70,0
Galunisertib,Olaparib,HuP-T3,0
Olaparib,Tozasertib,HCC2218,0
BMS-754807,Camptothecin,SK-CO-1,0
Palbociclib,Crizotinib,PSN1,0
Navitoclax,Temozolomide,HCC1395,0
Luminespib,AZD7762,HCC1500,0
Ruxolitinib,AZD7762,KP-2,0
5-Fluorouracil,Ruxolitinib,PANC-04-03,0
SCH772984,5-Fluorouracil,HT-115,0
Palbociclib,OSI-027,KP-2,0
Bortezomib,Docetaxel,MDA-MB-415,0
Palbociclib,GSK269962A,OCUB-M,0
OSI-027,Lapatinib,AsPC-1,0
Bortezomib,MK-2206,BT-20,0
Linsitinib,Nilotinib,MRK-nu-1,0
Cisplatin,MK-1775,BT-483,0
Lapatinib,Crizotinib,HCC1806,0
Lapatinib,AZD8055,MDA-MB-231,0
Taselisib,Vinorelbine,SW620,0
AZD7762,NU7441,T47D,0
Olaparib,Camptothecin,HCC1428,0
Taselisib,SCH772984,SU8686,0
Dasatinib,Taselisib,PSN1,1
Crizotinib,Navitoclax,SNU-407,0
Navitoclax,Linsitinib,HT-115,1
Camptothecin,AZD4547,SNU-C1,0
SCH772984,Taselisib,SNU-C2B,0
OSI-027,Wee1 Inhibitor,HDQ-P1,0
Gemcitabine,AZD8055,HDQ-P1,0
Palbociclib,KU-55933,MDA-MB-453,0
MK-2206,Camptothecin,HCC1500,0
Temozolomide,Navitoclax,HCC2218,0
MK-2206,SB505124,LS-123,0
Taselisib,5-Fluorouracil,MDA-MB-468,0
Linsitinib,AZD7762,HuP-T4,0
MK-1775,BI-2536,HCC1500,0
Navitoclax,5-Fluorouracil,LS-123,0
MK-2206,Vinorelbine,SNU-81,0
5-Fluorouracil,Galunisertib,KP-3,0
Temozolomide,ZM447439,HCC2218,0
MK-2206,BMS-754807,LoVo,0
MK-2206,Palbociclib,DU-4475,0
Vinorelbine,MK-1775,C2BBe1,0
Luminespib,GSK269962A,HCC1187,0
Navitoclax,Entinostat,EFM-192A,0
Linsitinib,Oxaliplatin,RKO,0
MK-2206,GSK269962A,HDQ-P1,0
Linsitinib,Sorafenib,MDA-MB-361,0
Docetaxel,Paclitaxel,CAL-85-1,0
Vorinostat,Alpelisib,MDA-MB-175-VII,0
Linsitinib,Wee1 Inhibitor,MDA-MB-468,0
Gemcitabine,Nilotinib,MRK-nu-1,0
Crizotinib,SB216763,BT-474,0
SCH772984,5-Fluorouracil,KP-2,0
Vinorelbine,Camptothecin,HCT-15,0
Crizotinib,AZD7762,SW948,0
Lapatinib,Doramapimod,EFM-19,0
Oxaliplatin,Linsitinib,HCC2998,0
MK-1775,OSI-027,UACC-893,0
Olaparib,Bortezomib,HDQ-P1,0
Olaparib,Sorafenib,CAL-120,0
AZD7762,Dabrafenib,HCC2998,0
Olaparib,5-Fluorouracil,MCF7,0
Paclitaxel,Crizotinib,SUIT-2,0
Crizotinib,OSI-027,KP-3,0
Docetaxel,Taselisib,Hs-578-T,0
AZD7762,SCH772984,PL4,0
Vorinostat,Doramapimod,MCF7,0
Vorinostat,PF-4708671,MRK-nu-1,0
Linsitinib,NU7441,HCC1419,0
Palbociclib,RO-3306,MDA-MB-175-VII,0
Gemcitabine,Palbociclib,MDA-MB-468,0
Taselisib,Tozasertib,HCC70,0
BMS-754807,AZD8055,SNU-407,0
Olaparib,Cisplatin,BxPC-3,0
Taselisib,Sorafenib,UACC-893,0
Lapatinib,Olaparib,CAL-51,0
MK-1775,Crizotinib,BT-20,0
Dactolisib,Galunisertib,SU8686,0
MK-2206,Gemcitabine,KP-3,0
Dactolisib,5-Fluorouracil,BxPC-3,0
Navitoclax,Galunisertib,PA-TU-8988T,0
Dasatinib,Palbociclib,KP-3,0
Linsitinib,Axitinib,HCC1395,0
Dabrafenib,SB216763,SNU-81,0
Olaparib,Linsitinib,UACC-812,0
Lapatinib,Doramapimod,HCC2157,0
MK-2206,5-Fluorouracil,HCT-116,0
Crizotinib,AZD7762,PANC-10-05,0
Palbociclib,MK-2206,BT-474,0
MK-1775,Bortezomib,OCUB-M,0
Vorinostat,5-Fluorouracil,EVSA-T,0
Taselisib,5-Fluorouracil,Hs-578-T,0
Ruxolitinib,Dactolisib,CFPAC-1,0
5-Fluorouracil,Navitoclax,NCI-H747,0
Cisplatin,Axitinib,CAL-85-1,0
Luminespib,Doramapimod,HCC1428,0
Linsitinib,5-Fluorouracil,CL-11,0
OSI-027,PF-4708671,MDA-MB-157,0
Luminespib,Entinostat,COLO-824,0
AZD7762,OSI-027,SW1990,0
5-Fluorouracil,Alpelisib,OCUB-M,0
Lapatinib,Bortezomib,MDA-MB-453,0
SB505124,BMS-754807,SK-CO-1,0
Ruxolitinib,Navitoclax,SUIT-2,0
Irinotecan,Dasatinib,KP-3,0
Navitoclax,Docetaxel,BT-474,0
Galunisertib,Palbociclib,KP-4,0
Docetaxel,Palbociclib,BT-483,0
Sorafenib,5-Fluorouracil,MZ1-PC,0
Irinotecan,Oxaliplatin,CAPAN-2,0
Cisplatin,Sorafenib,EVSA-T,0
Axitinib,Camptothecin,EFM-192A,0
MK-1775,Linsitinib,SW1463,0
Cisplatin,Taselisib,BxPC-3,0
Gemcitabine,Linsitinib,HCC1937,0
Axitinib,Olaparib,EVSA-T,0
MK-2206,AZD8055,HCC1143,0
Cisplatin,BI-2536,MCF7,0
Cisplatin,Palbociclib,PA-TU-8902,0
Bortezomib,Linsitinib,UACC-893,0
Irinotecan,Oxaliplatin,CFPAC-1,0
Docetaxel,Alpelisib,MDA-MB-436,0
Taselisib,AZD7762,MDA-MB-415,0
Crizotinib,Camptothecin,HCC1187,0
SB216763,AZD7762,HCC2998,0
Bortezomib,Cisplatin,T47D,0
Vinorelbine,Dabrafenib,KM12,0
Gemcitabine,BI-2536,OCUB-M,0
Olaparib,Camptothecin,LS-513,0
Cisplatin,Lapatinib,BT-474,0
Navitoclax,Olaparib,MDA-MB-157,0
AZD8055,Olaparib,SNU-175,0
Temozolomide,Cisplatin,CAL-51,0
SB216763,Dabrafenib,T84,0
Galunisertib,SCH772984,PANC-10-05,0
Docetaxel,Tozasertib,HCC1187,0
Cisplatin,Nilotinib,HCC1937,0
Linsitinib,Luminespib,ZR-75-1,0
Docetaxel,MK-2206,HCC1500,0
Navitoclax,Taselisib,HCC1187,1
MK-2206,Navitoclax,SW1463,0
Taselisib,Linsitinib,GP5d,0
Taselisib,MK-2206,PANC-03-27,0
SCH772984,Irinotecan,SUIT-2,0
Taselisib,Lapatinib,CAPAN-2,0
Ruxolitinib,Dasatinib,PA-TU-8988T,0
Oxaliplatin,Linsitinib,CL-11,0
MK-2206,SCH772984,SNU-407,1
Palbociclib,Cisplatin,SUIT-2,0
Taselisib,Sorafenib,KP-1N,0
Palbociclib,AZD4547,NCI-H716,0
Temozolomide,AZD8055,MDA-MB-415,0
Axitinib,Gemcitabine,MDA-MB-415,0
Temozolomide,PF-4708671,HDQ-P1,0
Palbociclib,AZD8055,SK-CO-1,0
SCH772984,5-Fluorouracil,LS-411N,0
Bortezomib,Nilotinib,HCC1143,0
5-Fluorouracil,KU-55933,MDA-MB-175-VII,0
Olaparib,ZM447439,EVSA-T,0
Crizotinib,Sorafenib,EVSA-T,0
Gemcitabine,Cisplatin,CAL-148,0
Olaparib,GSK269962A,BT-20,0
Navitoclax,5-Fluorouracil,MFM-223,0
Lapatinib,MK-1775,EFM-19,0
Luminespib,Docetaxel,HCC1428,0
Vorinostat,OSI-027,MDA-MB-436,0
SB505124,Oxaliplatin,SK-CO-1,0
Docetaxel,OSI-027,HCC1806,0
Olaparib,Bortezomib,Hs-578-T,0
Oxaliplatin,AZD7762,SNU-81,0
AZD7762,5-Fluorouracil,SU8686,0
Linsitinib,Entinostat,HCC2218,1
SB216763,SCH772984,T84,0
Cisplatin,Dabrafenib,MRK-nu-1,0
Crizotinib,AZD7762,Hs-766T,0
Crizotinib,Luminespib,HCC1954,0
Lapatinib,AZD7762,BT-20,0
Temozolomide,AZD8055,HCC1806,0
Lapatinib,Entinostat,HDQ-P1,0
Dabrafenib,MK-2206,KM12,0
Palbociclib,Navitoclax,T84,0
Cisplatin,Camptothecin,MFM-223,0
Taselisib,Temozolomide,CAL-51,0
Crizotinib,Docetaxel,COLO-824,0
Camptothecin,Oxaliplatin,HT-115,0
SB216763,Olaparib,LS-123,0
Lapatinib,Palbociclib,MDA-MB-231,0
Navitoclax,AZD4547,KM12,0
Cisplatin,AZD7762,BT-549,0
Dasatinib,Taselisib,DAN-G,1
AZD4547,Palbociclib,SNU-C5,0
Navitoclax,Alpelisib,HCC1806,0
Navitoclax,AZD7762,AU565,0
Camptothecin,5-Fluorouracil,COLO-320-HSR,0
Axitinib,GSK269962A,HCC1954,0
Crizotinib,MK-2206,HT-29,0
Gemcitabine,5-Fluorouracil,CAL-51,0
MK-2206,Paclitaxel,MRK-nu-1,0
SCH772984,MK-1775,LoVo,0
Vorinostat,RO-3306,HCC1187,0
Palbociclib,Linsitinib,T84,0
5-Fluorouracil,Wee1 Inhibitor,HCC1419,0
Palbociclib,AZD8055,MDA-MB-157,0
Gemcitabine,Taselisib,ZR-75-30,0
Lapatinib,SCH772984,PANC-08-13,0
Lapatinib,Crizotinib,MZ1-PC,0
Temozolomide,Alpelisib,EFM-192A,0
Oxaliplatin,Irinotecan,CFPAC-1,0
AZD7762,BI-2536,ZR-75-30,0
5-Fluorouracil,MK-1775,OCUB-M,0
Temozolomide,Lapatinib,HDQ-P1,0
Linsitinib,Palbociclib,CAPAN-1,0
MK-2206,AZD8055,LS-180,1
Luminespib,Olaparib,AU565,0
5-Fluorouracil,MK-1775,CAL-120,0
Palbociclib,Taselisib,SNU-C5,0
Bortezomib,Linsitinib,MDA-MB-453,0
Axitinib,SCH772984,MCF7,1
AZD7762,SCH772984,NCI-H716,0
Axitinib,Dabrafenib,CAL-120,0
BMS-754807,5-Fluorouracil,HCT-116,0
Palbociclib,Oxaliplatin,SNU-C5,0
Oxaliplatin,OSI-027,BxPC-3,0
Docetaxel,Linsitinib,MDA-MB-453,0
Olaparib,Taselisib,CAL-51,0
SCH772984,AZD4547,CL-11,0
AZD7762,SB216763,MDA-MB-175-VII,0
Dabrafenib,AZD4547,HT-115,0
BMS-754807,AZD7762,SNU-175,1
Linsitinib,MK-2206,CFPAC-1,0
Axitinib,5-Fluorouracil,EFM-192A,0
Palbociclib,Lapatinib,JIMT-1,0
Palbociclib,Taselisib,PSN1,1
Cisplatin,Taselisib,BT-549,0
Gemcitabine,Bortezomib,MDA-MB-175-VII,0
MK-2206,Vinorelbine,GP5d,0
Cisplatin,Palbociclib,CFPAC-1,0
OSI-027,Galunisertib,PANC-10-05,0
MK-1775,Luminespib,BT-20,0
Olaparib,AZD7762,LS-513,0
Olaparib,MK-1775,HCC2218,0
MK-1775,Paclitaxel,MDA-MB-231,0
Vinorelbine,MK-1775,SW1417,0
MK-1775,Lapatinib,AsPC-1,0
AZD7762,Dabrafenib,HCC1569,0
OSI-027,Palbociclib,HCC70,0
Palbociclib,BMS-754807,LoVo,0
5-Fluorouracil,Vinorelbine,SNU-175,0
Linsitinib,Nilotinib,MDA-MB-436,0
BMS-754807,Vinorelbine,NCI-H716,0
OSI-027,MK-2206,HPAC,0
Vorinostat,Crizotinib,UACC-893,0
5-Fluorouracil,Entinostat,UACC-893,0
Axitinib,Tozasertib,HCC1500,0
Cisplatin,Dabrafenib,HCC1937,0
SB216763,Camptothecin,CL-11,0
Cisplatin,GSK269962A,HCC1569,0
5-Fluorouracil,Crizotinib,CaR-1,0
Docetaxel,Doramapimod,BT-483,0
Axitinib,MK-2206,HCC2218,0
OSI-027,Taselisib,HPAC,0
Taselisib,BI-2536,DU-4475,0
Crizotinib,Navitoclax,NCI-H716,0
Galunisertib,Cisplatin,KP-1N,0
AZD7762,MK-1775,PANC-03-27,0
Axitinib,PF-4708671,HCC1937,0
AZD7762,Vorinostat,HCC1569,0
Navitoclax,AZD4547,HCT-15,0
Taselisib,Linsitinib,LoVo,0
Dactolisib,Irinotecan,MZ1-PC,0
Gemcitabine,Galunisertib,PANC-02-03,0
AZD7762,KU-55933,HCC1954,0
Oxaliplatin,BMS-754807,HCT-15,0
Linsitinib,Taselisib,CFPAC-1,0
Dactolisib,Linsitinib,KP-3,0
SCH772984,Palbociclib,LoVo,0
Linsitinib,Vinorelbine,COLO-678,0
Taselisib,Alpelisib,EFM-192A,0
Temozolomide,Cisplatin,HCC1419,0
5-Fluorouracil,AZD7762,BT-474,0
Docetaxel,MK-2206,HCC1187,0
Navitoclax,Vorinostat,EVSA-T,0
Linsitinib,AZD7762,CCK-81,0
AZD7762,Taselisib,HCC1187,0
Palbociclib,Oxaliplatin,LoVo,0
MK-1775,AZD8055,LS-180,0
Linsitinib,Luminespib,HCC2218,0
Vinorelbine,Navitoclax,DiFi,0
Navitoclax,MK-1775,AU565,0
Olaparib,NU7441,ZR-75-30,0
Dasatinib,Sorafenib,HuP-T4,0
Taselisib,Axitinib,COLO-824,0
Bortezomib,KU-55933,CAL-148,0
MK-2206,Dabrafenib,SK-CO-1,0
Gemcitabine,Lapatinib,ZR-75-1,0
Luminespib,KU-55933,UACC-893,0
MK-2206,Irinotecan,YAPC,0
Navitoclax,Axitinib,HDQ-P1,1
MK-1775,Palbociclib,BT-20,0
Vorinostat,MK-1775,HCC1937,0
Crizotinib,ZM447439,EVSA-T,0
Vorinostat,Gemcitabine,CAL-148,0
OSI-027,Gemcitabine,CAL-85-1,0
Luminespib,Vorinostat,MDA-MB-415,0
Olaparib,Tozasertib,BT-20,0
Taselisib,MK-1775,YAPC,0
Taselisib,5-Fluorouracil,CFPAC-1,0
Palbociclib,SB505124,HT55,0
Axitinib,Lapatinib,MRK-nu-1,0
Camptothecin,Taselisib,SNU-407,0
Taselisib,Dabrafenib,HCC1599,0
Taselisib,Temozolomide,EVSA-T,0
SB216763,BMS-754807,SW948,1
Lapatinib,SCH772984,CAL-120,0
AZD4547,Vinorelbine,SNU-C5,0
Bortezomib,RO-3306,HCC2218,0
Oxaliplatin,Ruxolitinib,AsPC-1,0
Docetaxel,Lapatinib,MDA-MB-468,0
MK-1775,AZD8055,MDA-MB-361,0
Luminespib,Bortezomib,MDA-MB-468,0
Vorinostat,Olaparib,MDA-MB-175-VII,0
Vorinostat,Temozolomide,OCUB-M,0
Paclitaxel,Taselisib,BxPC-3,1
MK-2206,Olaparib,HuP-T3,0
Dabrafenib,Camptothecin,LS-513,0
MK-2206,Lapatinib,HCC1395,0
Olaparib,AZD7762,HuP-T4,0
Galunisertib,Dactolisib,PA-TU-8988T,0
Navitoclax,Alpelisib,OCUB-M,0
Olaparib,MK-2206,MZ1-PC,0
Irinotecan,Olaparib,DAN-G,0
MK-1775,Paclitaxel,HuP-T3,0
Axitinib,Gemcitabine,MDA-MB-361,0
MK-2206,Nilotinib,EFM-192A,0
Oxaliplatin,Sorafenib,CAPAN-2,1
Linsitinib,Wee1 Inhibitor,HDQ-P1,0
Irinotecan,Navitoclax,YAPC,1
OSI-027,Taselisib,CAL-120,0
Linsitinib,Cisplatin,SW1990,0
Palbociclib,SB216763,BT-474,0
Bortezomib,Luminespib,MDA-MB-468,0
SCH772984,Palbociclib,PANC-03-27,0
Temozolomide,Alpelisib,EFM-19,0
Navitoclax,Axitinib,HCC70,0
