drug_a,drug_b,cell_line,synergy
Linsitinib,Gemcitabine,HCC2157,0
Irinotecan,Dactolisib,CAPAN-1,0
Luminespib,Navitoclax,CAL-85-1,0
Vorinostat,SCH772984,ZR-75-1,0
AZD7762,Afatinib,OCUB-M,0
Trametinib,Paclitaxel,COLO-824,0
SB216763,Taselisib,SW1463,0
Taselisib,5-Fluorouracil,GP5d,0
LGK974,Navitoclax,CL-11,0
Vorinostat,PF-4708671,HCC1599,0
OSI-027,Bortezomib,CAL-120,0
MK-1775,MK-2206,SUIT-2,1
Trametinib,PF-4708671,BT-483,0
Oxaliplatin,LGK974,LS-123,0
OSI-027,Luminespib,HCC1954,0
Gemcitabine,Irinotecan,HPAC,0
Lapatinib,OSI-027,MIA-PaCa-2,0
Linsitinib,MK-2206,CaR-1,1
Paclitaxel,Irinotecan,SU8686,0
Taselisib,Erlotinib,YAPC,1
Docetaxel,Pictilisib,CAL-148,0
PD173074,Nilotinib,MCF7,1
5-Fluorouracil,GSK269962A,CAL-120,0
Taselisib,OSI-027,HDQ-P1,0
Cisplatin,MK-2206,KP-4,0
Paclitaxel,Taselisib,YAPC,0
Navitoclax,SB216763,MDA-MB-453,0
5-Fluorouracil,Dabrafenib,HT-115,0
Linsitinib,Wee1 Inhibitor,ZR-75-1,0
Axitinib,BI-2536,BT-20,0
Sapitinib,Docetaxel,HCC1143,0
Gemcitabine,Paclitaxel,HCC1187,0
Linsitinib,Entinostat,MDA-MB-436,0
MK-2206,RO-3306,CAMA-1,0
AZD7762,Vorinostat,MRK-nu-1,0
5-Fluorouracil,Vinorelbine,MDST8,0
5-Fluorouracil,Linsitinib,PANC-10-05,0
Taselisib,LGK974,SNU-81,0
Trametinib,5-Fluorouracil,HCC1937,0
Navitoclax,Sapitinib,SW620,0
LGK974,Trametinib,CAPAN-1,0
Afatinib,Trametinib,SNU-175,0
Vinorelbine,Navitoclax,SNU-C2B,1
PD173074,PF-4708671,CAL-51,0
AZD7762,Taselisib,T47D,0
Cisplatin,Docetaxel,CAMA-1,0
5-Fluorouracil,Uprosertib,MDA-MB-453,0
Axitinib,Luminespib,HCC38,0
Luminespib,AZD6482,COLO-824,0
Lapatinib,Paclitaxel,HuP-T3,0
5-Fluorouracil,OSI-027,MDA-MB-468,0
AZD7762,NU7441,CAMA-1,0
Trametinib,Sapitinib,BT-20,1
Lapatinib,Taselisib,JIMT-1,0
Axitinib,Docetaxel,MDA-MB-361,0
Gemcitabine,PF-4708671,HCC1937,0
Linsitinib,Trametinib,HCC1419,0
Sapitinib,MK-1775,HCC1500,0
Sapitinib,JQ1,HCC2157,1
Cisplatin,Lapatinib,Hs-766T,0
Vorinostat,Luminespib,COLO-824,0
Bortezomib,Tozasertib,MFM-223,0
Taselisib,Alisertib,MRK-nu-1,0
Irinotecan,OSI-027,YAPC,0
Trametinib,OSI-027,CAL-85-1,0
PD173074,Sapitinib,MFM-223,0
AZD7762,SB505124,HT-29,0
OSI-027,MK-1775,MDA-MB-157,0
Cisplatin,Lapatinib,SUIT-2,0
Cisplatin,Ribociclib,MDA-MB-453,0
Erlotinib,Navitoclax,PA-TU-8988T,0
AZD7762,Gemcitabine,MDA-MB-361,1
Lapatinib,Cisplatin,ZR-75-30,0
MK-2206,Navitoclax,PANC-10-05,0
Axitinib,PD173074,HCC1187,0
PD173074,Nilotinib,ZR-75-30,0
SCH772984,MK-2206,MDST8,0
PD173074,Ribociclib,HCC2157,0
MK-2206,Taselisib,LS-123,0
AZD7762,RO-3306,JIMT-1,0
SB216763,Linsitinib,NCI-H747,0
AZD7762,Bortezomib,HCC2218,0
AZD7762,5-Fluorouracil,MDA-MB-157,1
Navitoclax,Taselisib,NCI-H747,0
Gemcitabine,Nilotinib,HCC1569,0
PD173074,Gemcitabine,EVSA-T,1
Linsitinib,5-Fluorouracil,MIA-PaCa-2,0
MK-2206,Entinostat,MCF7,0
Sapitinib,Dabrafenib,AU565,0
OSI-027,MK-2206,MDA-MB-231,0
Cisplatin,Irinotecan,MZ1-PC,0
SCH772984,Irinotecan,PSN1,0
Ruxolitinib,Taselisib,PANC-03-27,0
OSI-027,Afatinib,ZR-75-30,0
Linsitinib,RO-3306,MDA-MB-436,0
5-Fluorouracil,PD173074,AU565,0
Docetaxel,Alisertib,UACC-893,0
SB216763,Navitoclax,NCI-H747,0
Navitoclax,LGK974,GP5d,0
Taselisib,Lapatinib,MDA-MB-231,0
Sapitinib,Linsitinib,HCC38,0
OSI-027,Wee1 Inhibitor,CAMA-1,0
OSI-027,Dasatinib,PANC-04-03,0
Sapitinib,5-Fluorouracil,RCM-1,0
Pictilisib,AZD6482,HCC1599,0
Pictilisib,Cisplatin,HCC202,0
Cisplatin,MK-2206,UACC-812,0
Afatinib,SB505124,CW-2,0
Cisplatin,Erlotinib,PANC-10-05,0
Bortezomib,Taselisib,HCC1143,0
MK-2206,5-Fluorouracil,CL-11,0
AZD7762,5-Fluorouracil,SW1116,0
Vorinostat,Bortezomib,HCC1428,0
Linsitinib,Erlotinib,CAPAN-2,1
Bortezomib,AZD6482,OCUB-M,0
Sapitinib,Cisplatin,ZR-75-1,0
AZD7762,Linsitinib,UACC-812,0
OSI-027,KU-55933,HCC2218,0
Lapatinib,Vorinostat,HDQ-P1,0
Lapatinib,Wee1 Inhibitor,DU-4475,0
Taselisib,Oxaliplatin,PANC-08-13,0
Cisplatin,SB216763,HCC1143,0
Axitinib,Venetoclax,HCC1419,0
Cisplatin,Entinostat,CAMA-1,0
Pictilisib,5-Fluorouracil,CAL-148,0
OSI-027,Afatinib,BT-474,0
MK-1775,LGK974,SW620,0
Gemcitabine,AZD6482,JIMT-1,0
Linsitinib,KU-55933,BT-474,0
SB216763,Afatinib,SW48,0
Navitoclax,Docetaxel,CAMA-1,0
AZD7762,Luminespib,HCC1569,0
Sapitinib,Paclitaxel,BT-549,0
Luminespib,AZD7762,HCC1500,0
Ruxolitinib,AZD7762,KP-2,0
5-Fluorouracil,Ruxolitinib,PANC-04-03,0
SCH772984,5-Fluorouracil,HT-115,0
PD173074,NU7441,BT-549,0
Bortezomib,Docetaxel,MDA-MB-415,0
OSI-027,Lapatinib,AsPC-1,0
Bortezomib,MK-2206,BT-20,0
Axitinib,Trametinib,BT-549,0
Linsitinib,Nilotinib,MRK-nu-1,0
Cisplatin,MK-1775,BT-483,0
Taselisib,Vinorelbine,SW620,0
AZD7762,NU7441,T47D,0
Taselisib,SCH772984,SU8686,0
PD173074,ZM447439,MDA-MB-415,0
Dasatinib,Taselisib,PSN1,1
Trametinib,OSI-027,HuP-T3,0
Navitoclax,Linsitinib,HT-115,1
Sapitinib,Lapatinib,COLO-824,0
AZD7762,Sapitinib,KM12,0
SCH772984,Taselisib,SNU-C2B,0
OSI-027,Wee1 Inhibitor,HDQ-P1,0
OSI-027,Alisertib,AU565,0
Linsitinib,AZD6482,HCC1954,0
MK-2206,SB505124,LS-123,0
Taselisib,5-Fluorouracil,MDA-MB-468,0
Linsitinib,AZD7762,HuP-T4,0
MK-1775,BI-2536,HCC1500,0
MK-2206,PD173074,MDA-MB-330,0
Navitoclax,5-Fluorouracil,LS-123,0
PD173074,MK-2206,BT-20,0
Erlotinib,Dactolisib,PANC-03-27,0
MK-2206,Vinorelbine,SNU-81,0
PD173074,Trametinib,HCC1806,0
Gemcitabine,Afatinib,T47D,0
Paclitaxel,Trametinib,PA-TU-8988T,0
Navitoclax,PD173074,CAMA-1,0
OSI-027,AZD6482,OCUB-M,0
Vinorelbine,MK-1775,C2BBe1,0
Luminespib,GSK269962A,HCC1187,0
Navitoclax,Entinostat,EFM-192A,0
Sapitinib,LGK974,SW1116,0
Linsitinib,Oxaliplatin,RKO,0
MK-2206,GSK269962A,HDQ-P1,0
Docetaxel,Paclitaxel,CAL-85-1,0
Linsitinib,Wee1 Inhibitor,MDA-MB-468,0
Gemcitabine,Nilotinib,MRK-nu-1,0
SCH772984,5-Fluorouracil,KP-2,0
Vorinostat,Venetoclax,CAL-120,0
Oxaliplatin,Linsitinib,HCC2998,0
MK-1775,OSI-027,UACC-893,0
PD173074,Uprosertib,DU-4475,0
LGK974,SCH772984,T84,0
Vorinostat,Trametinib,MCF7,0
Gemcitabine,Sapitinib,HCC1954,0
Lapatinib,Trametinib,EFM-19,0
AZD7762,Dabrafenib,HCC2998,0
MK-2206,AZD6482,EFM-19,0
Docetaxel,Taselisib,Hs-578-T,0
AZD7762,SCH772984,PL4,0
Vorinostat,PD173074,CAL-85-1,0
OSI-027,PD173074,CAL-148,0
Vorinostat,PF-4708671,MRK-nu-1,0
Linsitinib,NU7441,HCC1419,0
Trametinib,BI-2536,HCC2157,0
Trametinib,Sapitinib,CAL-120,0
5-Fluorouracil,Sapitinib,CAMA-1,0
Trametinib,AZD7762,HPAC,0
Taselisib,Tozasertib,HCC70,0
Vorinostat,Ribociclib,HCC1954,0
Pictilisib,Axitinib,HDQ-P1,0
MK-2206,Gemcitabine,KP-3,0
Dactolisib,5-Fluorouracil,BxPC-3,0
Gemcitabine,Venetoclax,DU-4475,1
Linsitinib,Axitinib,HCC1395,0
Dabrafenib,SB216763,SNU-81,0
SCH772984,Trametinib,COLO-678,0
MK-2206,5-Fluorouracil,HCT-116,0
5-Fluorouracil,Ribociclib,UACC-893,0
Luminespib,Uprosertib,HCC1395,0
Sapitinib,AZD7762,LS-180,0
Sapitinib,BI-2536,MDA-MB-330,0
Cisplatin,AZD6482,HCC1954,0
MK-1775,Bortezomib,OCUB-M,0
Vorinostat,5-Fluorouracil,EVSA-T,0
Taselisib,5-Fluorouracil,Hs-578-T,0
Ruxolitinib,Dactolisib,CFPAC-1,0
Trametinib,OSI-027,BxPC-3,0
Gemcitabine,Venetoclax,MDA-MB-436,0
5-Fluorouracil,Navitoclax,NCI-H747,0
Cisplatin,Axitinib,CAL-85-1,0
Linsitinib,5-Fluorouracil,CL-11,0
OSI-027,PF-4708671,MDA-MB-157,0
Docetaxel,AZD6482,BT-549,0
Luminespib,Entinostat,COLO-824,0
AZD7762,OSI-027,SW1990,0
Lapatinib,Bortezomib,MDA-MB-453,0
Ruxolitinib,Navitoclax,SUIT-2,0
Irinotecan,Dasatinib,KP-3,0
Navitoclax,Docetaxel,BT-474,0
PD173074,MK-1775,HCC1806,0
SB216763,Afatinib,HCT-15,0
Irinotecan,Oxaliplatin,CAPAN-2,0
MK-1775,Linsitinib,SW1463,0
Cisplatin,Taselisib,BxPC-3,0
Gemcitabine,Linsitinib,HCC1937,0
Cisplatin,BI-2536,MCF7,0
Sapitinib,PD173074,ZR-75-1,0
5-Fluorouracil,Sapitinib,LS-411N,0
Bortezomib,Linsitinib,UACC-893,0
OSI-027,Trametinib,PA-TU-8988T,0
Irinotecan,Oxaliplatin,CFPAC-1,0
Taselisib,AZD7762,MDA-MB-415,0
SB216763,AZD7762,HCC2998,0
Bortezomib,Cisplatin,T47D,0
Vinorelbine,Dabrafenib,KM12,0
Gemcitabine,BI-2536,OCUB-M,0
Cisplatin,Lapatinib,BT-474,0
Vorinostat,JQ1,HCC1395,0
MK-2206,Alisertib,MDA-MB-468,0
LGK974,Dabrafenib,LS-123,0
SB216763,Dabrafenib,T84,0
Docetaxel,Tozasertib,HCC1187,0
Cisplatin,Nilotinib,HCC1937,0
Taselisib,Trametinib,HT55,0
Linsitinib,Luminespib,ZR-75-1,0
Docetaxel,MK-2206,HCC1500,0
Navitoclax,Taselisib,HCC1187,1
MK-2206,Navitoclax,SW1463,0
Taselisib,Linsitinib,GP5d,0
Taselisib,MK-2206,PANC-03-27,0
SCH772984,Irinotecan,SUIT-2,0
Taselisib,Lapatinib,CAPAN-2,0
Lapatinib,JQ1,HDQ-P1,0
Ruxolitinib,Dasatinib,PA-TU-8988T,0
Oxaliplatin,Linsitinib,CL-11,0
MK-2206,SCH772984,SNU-407,1
LGK974,5-Fluorouracil,SW1116,0
Pictilisib,SB216763,CAL-120,0
Axitinib,Uprosertib,HCC1419,0
Sapitinib,BI-2536,HCC1599,0
Linsitinib,Uprosertib,CAL-120,0
Axitinib,Gemcitabine,MDA-MB-415,0
SCH772984,Sapitinib,NCI-H716,0
Trametinib,Cisplatin,YAPC,0
PD173074,NU7441,HCC70,0
SCH772984,5-Fluorouracil,LS-411N,0
Bortezomib,Nilotinib,HCC1143,0
5-Fluorouracil,KU-55933,MDA-MB-175-VII,0
Gemcitabine,Cisplatin,CAL-148,0
PD173074,MK-1775,HDQ-P1,0
Gemcitabine,Pictilisib,HCC1428,0
Navitoclax,5-Fluorouracil,MFM-223,0
Lapatinib,MK-1775,EFM-19,0
Luminespib,Docetaxel,HCC1428,0
Trametinib,Oxaliplatin,DiFi,0
Vorinostat,OSI-027,MDA-MB-436,0
SB505124,Oxaliplatin,SK-CO-1,0
Docetaxel,OSI-027,HCC1806,0
Axitinib,Pictilisib,Hs-578-T,0
Trametinib,Linsitinib,SW620,0
OSI-027,AZD6482,HCC1569,0
Oxaliplatin,AZD7762,SNU-81,0
AZD7762,5-Fluorouracil,SU8686,0
Linsitinib,Entinostat,HCC2218,1
LGK974,Erlotinib,DAN-G,0
SB216763,SCH772984,T84,0
Cisplatin,Dabrafenib,MRK-nu-1,0
LGK974,Trametinib,HCT-15,0
Lapatinib,AZD7762,BT-20,0
Navitoclax,Sapitinib,CAL-51,0
Sapitinib,Trametinib,ZR-75-30,0
Lapatinib,Entinostat,HDQ-P1,0
Dabrafenib,MK-2206,KM12,0
Dabrafenib,Afatinib,HCC2998,0
Dasatinib,LGK974,PSN1,0
Cisplatin,AZD7762,BT-549,0
Dasatinib,Taselisib,DAN-G,1
Navitoclax,AZD7762,AU565,0
Trametinib,Uprosertib,EFM-19,0
Axitinib,GSK269962A,HCC1954,0
Docetaxel,PD173074,AU565,0
Luminespib,Ribociclib,HCC1419,0
Gemcitabine,5-Fluorouracil,CAL-51,0
PD173074,Gemcitabine,CAL-148,0
MK-2206,Paclitaxel,MRK-nu-1,0
PD173074,MK-2206,HCC1806,0
SCH772984,MK-1775,LoVo,0
Erlotinib,Linsitinib,CAPAN-2,0
Vorinostat,RO-3306,HCC1187,0
5-Fluorouracil,Wee1 Inhibitor,HCC1419,0
Erlotinib,Navitoclax,SW1990,0
Gemcitabine,Taselisib,ZR-75-30,0
Trametinib,Cisplatin,BT-483,0
Lapatinib,SCH772984,PANC-08-13,0
Oxaliplatin,Irinotecan,CFPAC-1,0
AZD7762,BI-2536,ZR-75-30,0
5-Fluorouracil,MK-1775,OCUB-M,0
Lapatinib,AZD6482,MDA-MB-415,0
5-Fluorouracil,MK-1775,CAL-120,0
Bortezomib,Linsitinib,MDA-MB-453,0
Axitinib,SCH772984,MCF7,1
AZD7762,SCH772984,NCI-H716,0
Sapitinib,Uprosertib,BT-474,0
Lapatinib,Afatinib,HCC2218,0
PD173074,Nilotinib,HCC1419,0
Axitinib,Dabrafenib,CAL-120,0
MK-1775,Sapitinib,MDA-MB-436,0
Sapitinib,Nilotinib,HCC1419,0
PD173074,Axitinib,HCC1187,0
LGK974,Linsitinib,SNU-175,0
AZD7762,JQ1,HCC1937,0
Oxaliplatin,OSI-027,BxPC-3,0
Docetaxel,Linsitinib,MDA-MB-453,0
5-Fluorouracil,Afatinib,MFM-223,0
5-Fluorouracil,AZD6482,EFM-19,0
LGK974,Ruxolitinib,PANC-02-03,0
PD173074,Venetoclax,T47D,0
AZD7762,SB216763,MDA-MB-175-VII,0
Linsitinib,MK-2206,CFPAC-1,0
Axitinib,5-Fluorouracil,EFM-192A,0
Cisplatin,Taselisib,BT-549,0
Gemcitabine,Bortezomib,MDA-MB-175-VII,0
MK-2206,Vinorelbine,GP5d,0
MK-1775,Luminespib,BT-20,0
MK-1775,Paclitaxel,MDA-MB-231,0
Vinorelbine,MK-1775,SW1417,0
MK-1775,Lapatinib,AsPC-1,0
AZD7762,Dabrafenib,HCC1569,0
5-Fluorouracil,Vinorelbine,SNU-175,0
Linsitinib,Nilotinib,MDA-MB-436,0
OSI-027,MK-2206,HPAC,0
5-Fluorouracil,Entinostat,UACC-893,0
Axitinib,Tozasertib,HCC1500,0
Cisplatin,Dabrafenib,HCC1937,0
Cisplatin,GSK269962A,HCC1569,0
LGK974,Afatinib,COLO-320-HSR,0
Axitinib,MK-2206,HCC2218,0
OSI-027,Taselisib,HPAC,0
Taselisib,BI-2536,DU-4475,0
AZD7762,MK-1775,PANC-03-27,0
Axitinib,PF-4708671,HCC1937,0
AZD7762,Vorinostat,HCC1569,0
5-Fluorouracil,Alisertib,MRK-nu-1,0
Taselisib,Linsitinib,LoVo,0
Vinorelbine,Afatinib,SW620,0
Dactolisib,Irinotecan,MZ1-PC,0
AZD7762,KU-55933,HCC1954,0
Linsitinib,Taselisib,CFPAC-1,0
Dactolisib,Linsitinib,KP-3,0
Linsitinib,Vinorelbine,COLO-678,0
5-Fluorouracil,AZD7762,BT-474,0
PD173074,Linsitinib,CAL-148,0
Sapitinib,GSK269962A,HCC1428,0
MK-1775,Trametinib,SNU-81,0
Gemcitabine,Sapitinib,COLO-824,0
Docetaxel,MK-2206,HCC1187,0
Bortezomib,Uprosertib,OCUB-M,0
Navitoclax,Vorinostat,EVSA-T,0
Linsitinib,AZD7762,CCK-81,0
Cisplatin,Afatinib,DU-4475,0
AZD7762,Taselisib,HCC1187,0
Linsitinib,Pictilisib,HCC2218,0
Trametinib,Sapitinib,EVSA-T,0
Linsitinib,Luminespib,HCC2218,0
Gemcitabine,Venetoclax,HCC2157,0
Sapitinib,Wee1 Inhibitor,CAL-148,0
Linsitinib,Pictilisib,HCC1599,0
Vinorelbine,Navitoclax,DiFi,0
Navitoclax,MK-1775,AU565,0
AZD7762,PD173074,AU565,0
LGK974,SB216763,HCT-116,0
Sapitinib,PD173074,CAL-85-1,0
Taselisib,Axitinib,COLO-824,0
Bortezomib,KU-55933,CAL-148,0
MK-2206,Dabrafenib,SK-CO-1,0
Gemcitabine,Lapatinib,ZR-75-1,0
Pictilisib,NU7441,HCC1395,0
Luminespib,KU-55933,UACC-893,0
MK-2206,Irinotecan,YAPC,0
Bortezomib,Afatinib,HCC1599,0
Erlotinib,Oxaliplatin,PANC-10-05,0
Navitoclax,Axitinib,HDQ-P1,1
Vorinostat,MK-1775,HCC1937,0
Lapatinib,Sapitinib,HDQ-P1,0
Vorinostat,Gemcitabine,CAL-148,0
OSI-027,Gemcitabine,CAL-85-1,0
MK-2206,Trametinib,HCC1954,0
Navitoclax,Trametinib,MIA-PaCa-2,0
Luminespib,Vorinostat,MDA-MB-415,0
Taselisib,MK-1775,YAPC,0
Taselisib,5-Fluorouracil,CFPAC-1,0
Axitinib,Lapatinib,MRK-nu-1,0
MK-1775,Pictilisib,HCC1143,0
Trametinib,MK-2206,MDA-MB-361,0
Taselisib,Dabrafenib,HCC1599,0
PD173074,Wee1 Inhibitor,EFM-192A,0
Lapatinib,SCH772984,CAL-120,0
Bortezomib,RO-3306,HCC2218,0
Oxaliplatin,Ruxolitinib,AsPC-1,0
Docetaxel,Lapatinib,MDA-MB-468,0
Sapitinib,SCH772984,BT-20,0
Luminespib,Bortezomib,MDA-MB-468,0
PD173074,Paclitaxel,MDA-MB-175-VII,0
MK-2206,Venetoclax,MDA-MB-468,0
Paclitaxel,Taselisib,BxPC-3,1
MK-2206,Lapatinib,HCC1395,0
MK-1775,Paclitaxel,HuP-T3,0
Axitinib,Gemcitabine,MDA-MB-361,0
MK-2206,Nilotinib,EFM-192A,0
Linsitinib,Wee1 Inhibitor,HDQ-P1,0
Irinotecan,Navitoclax,YAPC,1
OSI-027,Taselisib,CAL-120,0
Linsitinib,Cisplatin,SW1990,0
Bortezomib,Luminespib,MDA-MB-468,0
Navitoclax,Axitinib,HCC70,0
Taselisib,Afatinib,HCT-15,0
Taselisib,Nilotinib,HCC1143,0
Luminespib,Ribociclib,BT-549,0
Linsitinib,Navitoclax,LS-123,0
Bortezomib,KU-55933,MFM-223,0
MK-2206,Lapatinib,CFPAC-1,1
OSI-027,Axitinib,DU-4475,0
Luminespib,AZD7762,MDA-MB-415,0
Vinorelbine,SB505124,COLO-320-HSR,0
5-Fluorouracil,SB216763,LS-411N,0
Lapatinib,MK-1775,HuP-T4,0
Dactolisib,Linsitinib,KP-1N,1
Taselisib,RO-3306,EFM-19,0
Navitoclax,GSK269962A,CAL-85-1,0
Navitoclax,Paclitaxel,T47D,1
Navitoclax,OSI-027,Hs-578-T,0
Sapitinib,Taselisib,UACC-893,0
Ruxolitinib,LGK974,HPAC,0
5-Fluorouracil,Gemcitabine,HCC1806,0
Navitoclax,Dabrafenib,CCK-81,0
SCH772984,MK-2206,Hs-766T,0
AZD7762,LGK974,RCM-1,0
Cisplatin,Afatinib,Hs-578-T,0
Vorinostat,BI-2536,HCC70,0
5-Fluorouracil,Wee1 Inhibitor,MDA-MB-361,0
5-Fluorouracil,Lapatinib,CAPAN-1,0
AZD7762,NU7441,ZR-75-30,0
Pictilisib,Nilotinib,MRK-nu-1,0
MK-1775,ZM447439,HCC1599,0
MK-2206,Linsitinib,HT55,0
Navitoclax,Lapatinib,HCC1187,1
LGK974,5-Fluorouracil,AsPC-1,0
Lapatinib,RO-3306,HDQ-P1,0
Docetaxel,MK-1775,HCC1187,0
Vorinostat,Afatinib,UACC-893,1
SCH772984,Taselisib,SK-CO-1,0
Luminespib,AZD7762,BT-20,0
LGK974,Trametinib,SW1417,0
Luminespib,PF-4708671,HCC1428,0
SB505124,SB216763,SNU-81,0
LGK974,Afatinib,SK-CO-1,0
Vorinostat,Linsitinib,CAL-148,0
Gemcitabine,MK-2206,HCC1395,0
Linsitinib,Dasatinib,BxPC-3,0
Trametinib,Linsitinib,HCC1806,0
LGK974,Irinotecan,KP-3,0
Bortezomib,MK-2206,BT-549,0
Lapatinib,Navitoclax,MIA-PaCa-2,1
MK-2206,Vinorelbine,T84,1
Gemcitabine,Luminespib,HCC1395,0
5-Fluorouracil,Nilotinib,CAL-148,0
Cisplatin,Irinotecan,CAPAN-1,0
